序号,点位ID,点位名称 (中文),英文名称 (English),所属国家,地理位置 / 省市,经度 (Lng),纬度 (Lat),景观分类,点位意境与人文描述,核心特色标签,推荐BPM,音乐调式/律动,核心配器音色,自然声场采样,AI音乐生成提示词 (中文关键词),AI Music Prompt (English),Midjourney视觉提示词 (Visual Prompt),对照音乐曲名,音乐创作者/艺术家,音乐匹配类型,对应的音乐文件
80,huangguoshu,贵州黄果树大瀑布,Huangguoshu Waterfall Guizhou,中国,中国 · 贵州省安顺市,105.6669,25.9926,宁静湖泊 / 高原圣湖,亚洲最大瀑布，奔腾白水如银河倒挂，轰鸣之声如万马奔腾。水帘洞横贯其间，飞瀑激起漫天彩虹，壮美绝伦。,国家5A级、亚洲第一瀑布、水帘洞、天星桥、喀斯特奇观,74,黔山水音 · 奔流调,铜鼓 · 侗族大歌和声 · 飞瀑水雾声,环境声场,黄果树飞瀑奔腾乐章，铜鼓与少数民族和声，瀑布水汽，气势恢宏、BPM 74、黔山水音 · 奔流调、环境声场、高清无损立体声,"crystal clear piano, ambient reverb pads, tranquil lake reflection, gentle acoustic strings, deep relaxation, 432hz, instrumental, no vocals, 74 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Huangguoshu Waterfall Guizhou (贵州黄果树大瀑布), 中国 · 贵州省安顺市, breathtaking view, 国家5A级, 亚洲第一瀑布, 水帘洞, 天星桥, 喀斯特奇观, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",贡嘎雪山 · 蜀山之王,GeoMelody AI · 中国,分类意境伴奏,suno_018_gongga.mp3
81,xiaoqikong,荔波小七孔风景区,Libo Xiaoqikong Scenic Area Guizhou,中国,中国 · 贵州省黔南州,107.7289,25.2608,幽深森林 / 自然秘境,地球绿宝石。七孔古桥横跨碧绿如玉的响水河，拉雅瀑布飞流直下，水上森林树瀑交融，满目苍翠沁人心脾。,国家5A级、世界自然遗产、地球绿宝石、七孔古桥、水上森林,60,绿野仙踪 · 五声音阶,竹笛 · 竖琴 · 溪流潺潺 · 鸟鸣幽谷,晨曦鸟鸣 / 空山鸟语,荔波绿宝石森林仙乐，清脆竹笛与竖琴，溪水潺潺，鸟语花香、BPM 60、绿野仙踪 · 五声音阶、晨曦鸟鸣 / 空山鸟语、高清无损立体声,"healing nature ambient, acoustic guitar fingerstyle, bird song, wind chimes, lush green forest, zen meditation, instrumental, no vocals, 60 BPM, morning bird singing, forest birds chirp, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Libo Xiaoqikong Scenic Area Guizhou (荔波小七孔风景区), 中国 · 贵州省黔南州, breathtaking view, 国家5A级, 世界自然遗产, 地球绿宝石, 七孔古桥, 水上森林, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",马尔代夫 · 蓝色环礁,GeoMelody AI · 马尔代夫,分类意境伴奏,suno_026_maldives.mp3
82,wuyishan,武夷山风景名胜区,Mount Wuyi Fujian,中国,中国 · 福建省南平市,117.9733,27.6521,名山胜岳 / 巍峨雪峰,九曲溪竹筏漂流，两岸三十六峰奇绝秀拔。玉女峰与大王峰深情相望，大红袍茶树生长于绝壁岩缝，茶香伴随溪声清冽悠远。,国家5A级、世界文化与自然双遗产、九曲溪竹筏、大红袍茶树、玉女峰,62,禅茶一味 · 商调,古琴 · 箫 · 九曲溪流水 · 茶汤斟注,烟雨滴檐 / 细雨淅淅,武夷山茶禅古琴曲，箫声悠远，溪流竹筏，清茗幽香、BPM 62、禅茶一味 · 商调、烟雨滴檐 / 细雨淅淅、高清无损立体声,"cinematic ambient, grand mountain landscape, epic yet calm, airy bamboo flute, handpan, strings, ethereal atmosphere, instrumental, no vocals, 62 BPM, gentle rain ambience, raindrops on roof, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Mount Wuyi Fujian (武夷山风景名胜区), 中国 · 福建省南平市, breathtaking view, 国家5A级, 世界文化与自然双遗产, 九曲溪竹筏, 大红袍茶树, 玉女峰, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",加州红杉国家公园,GeoMelody AI · 美国,分类意境伴奏,suno_044_redwood.mp3
83,lushan,庐山风景名胜区,Mount Lushan Jiangxi,中国,中国 · 江西省九江市,115.9892,29.5638,名山胜岳 / 巍峨雪峰,横看成岭侧成峰，远近高低各不同。三叠泉飞瀑直泻千尺，含鄱口极目鄱阳湖烟波，牯岭避暑小镇云雾缭绕如仙境。,国家5A级、世界文化景观遗产、三叠泉飞瀑、含鄱口、牯岭云雾,60,匡庐云涛 · 羽调,古琴 · 琵琶 · 飞瀑松涛 · 山鸟啼鸣,山间清风 / 微风拂过,庐山水墨仙境乐章，古琴松涛，飞瀑云海，隐逸诗意、BPM 60、匡庐云涛 · 羽调、山间清风 / 微风拂过、高清无损立体声,"cinematic ambient, grand mountain landscape, epic yet calm, airy bamboo flute, handpan, strings, ethereal atmosphere, instrumental, no vocals, 60 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Mount Lushan Jiangxi (庐山风景名胜区), 中国 · 江西省九江市, breathtaking view, 国家5A级, 世界文化景观遗产, 三叠泉飞瀑, 含鄱口, 牯岭云雾, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",珠穆朗玛峰 · 世界之巅,GeoMelody AI · 中国,分类意境伴奏,suno_020_everest.mp3
84,kanas,新疆阿勒泰喀纳斯湖,Kanas Lake Altai Xinjiang,中国,中国 · 新疆阿勒泰布尔津,87.0378,48.6931,宁静湖泊 / 高原圣湖,阿尔泰山深处的神秘仙境。湖水随四季光线变换翡翠、天青与乳白，卧龙湾、月亮湾、神仙湾云雾升腾，白桦林金黄绚烂如油画。,国家5A级、人间净土、月亮湾、图瓦人村落、喀纳斯三湾,58,图瓦草调 · 432Hz,苏尔笛 · 托布秀尔 · 湖水清风 · 白桦落叶,山间清风 / 微风拂过,新疆喀纳斯神秘湖泊乐曲，苏尔笛与冬不拉，白桦林秋风，静谧纯美、BPM 58、图瓦草调 · 432Hz、山间清风 / 微风拂过、高清无损立体声,"crystal clear piano, ambient reverb pads, tranquil lake reflection, gentle acoustic strings, deep relaxation, 432hz, instrumental, no vocals, 58 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Kanas Lake Altai Xinjiang (新疆阿勒泰喀纳斯湖), 中国 · 新疆阿勒泰布尔津, breathtaking view, 国家5A级, 人间净土, 月亮湾, 图瓦人村落, 喀纳斯三湾, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",普利特维采湖群 · 欧洲十六湖,GeoMelody AI · 克罗地亚,分类意境伴奏,suno_045_plitvice.mp3
85,tianshan,新疆天山天池,Heavenly Lake of Tianshan Xinjiang,中国,中国 · 新疆昌吉州阜康市,88.1342,43.8856,宁静湖泊 / 高原圣湖,博格达雪峰下的瑶池仙境。高山湖泊宛如碧玉镶嵌于雪山云杉林间，传闻西王母设蟠桃宴之处，倒映着巍峨雪峰终年冰霜。,国家5A级、世界自然遗产、博格达峰、瑶池圣水、雪山倒影,62,西域瑶池 · 宫调,热瓦普 · 艾捷克 · 雪山清风 · 冰泉滴水,山间清风 / 微风拂过,天山天池雪域仙境乐曲，热瓦普与冬不拉，博格达雪峰倒影，纯净脱俗、BPM 62、西域瑶池 · 宫调、山间清风 / 微风拂过、高清无损立体声,"crystal clear piano, ambient reverb pads, tranquil lake reflection, gentle acoustic strings, deep relaxation, 432hz, instrumental, no vocals, 62 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Heavenly Lake of Tianshan Xinjiang (新疆天山天池), 中国 · 新疆昌吉州阜康市, breathtaking view, 国家5A级, 世界自然遗产, 博格达峰, 瑶池圣水, 雪山倒影, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",玻利维亚 · 乌尤尼盐沼天空之镜,GeoMelody AI · 玻利维亚,分类意境伴奏,suno_126_salardeuyuni.mp3
86,pyramids,埃及吉萨金字塔群与狮身人面像,Giza Pyramids & Sphinx,埃及,埃及 · 开罗吉萨省,31.1342,29.9792,浩瀚大漠 / 丝路遗迹,古代世界七大奇迹唯一幸存者。胡夫大金字塔巍然耸立于金色撒哈拉沙漠尽头，狮身人面像凝视东方落日，承载四千年古埃及神秘传奇。,世界古代七大奇迹、世界文化遗产、胡夫金字塔、狮身人面像、法老王朝,64,Ancient Egyptian Scale · D Minor,乌德琴 · 纳伊笛 · 达布卡手鼓 · 沙漠热风,山间清风 / 微风拂过,埃及古金字塔神秘史诗乐，乌德琴与手鼓，沙漠落日，千古法老传奇、BPM 64、Ancient Egyptian Scale · D Minor、山间清风 / 微风拂过、高清无损立体声,"silk road world music, oud, duduk, middle eastern hand percussion, desert wind, mysterious, atmospheric journey, instrumental, no vocals, 64 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Giza Pyramids & Sphinx (埃及吉萨金字塔群与狮身人面像), 埃及 · 开罗吉萨省, breathtaking view, 世界古代七大奇迹, 世界文化遗产, 胡夫金字塔, 狮身人面像, 法老王朝, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",撒哈拉沙漠 · 星空之夜,GeoMelody AI · 摩洛哥,分类意境伴奏,suno_035_sahara.mp3
87,tajmahal,印度阿格拉泰姬陵,Taj Mahal Agra,印度,印度 · 北方邦阿格拉,78.0421,27.1751,古镇水乡 / 历史村落,白色大理石砌筑的永恒爱情丰碑。亚穆纳河畔的水面倒映着完美对称的穹顶与尖塔，朝霞与暮色中呈现梦幻般的粉白与金黄。,世界新七大奇迹、世界文化遗产、大理石穹顶、亚穆纳河畔、莫卧儿建筑,58,Raga Yaman · Indian Classical,西塔琴 · 塔布拉鼓 · 班苏里竹笛,烟雨滴檐 / 细雨淅淅,泰姬陵印度古典冥想西塔琴曲，塔布拉鼓与竹笛，晨光微曦，深情浪漫、BPM 58、Raga Yaman · Indian Classical、烟雨滴檐 / 细雨淅淅、高清无损立体声,"traditional oriental acoustic folk, guzheng, bamboo flute, acoustic guitar, peaceful water town vibe, relaxing, serene, instrumental, no vocals, 58 BPM, gentle rain ambience, raindrops on roof, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Taj Mahal Agra (印度阿格拉泰姬陵), 印度 · 北方邦阿格拉, breathtaking view, 世界新七大奇迹, 世界文化遗产, 大理石穹顶, 亚穆纳河畔, 莫卧儿建筑, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",乌镇水乡,GeoMelody AI · 中国,分类意境伴奏,suno_001_wuzhen.mp3
88,angkorwat,柬埔寨暹粒吴哥窟,Angkor Wat Siem Reap,柬埔寨,柬埔寨 · 暹粒省,103.867,13.4125,幽深森林 / 自然秘境,高棉微笑与丛林古迹的终极奇观。巨大的热带榕树盘根错节包裹着千年石雕神庙，荷花池畔日出将五座莲花佛塔染成耀眼金光。,世界文化遗产、吴哥古迹、高棉微笑、塔普伦寺、莲花塔日出,56,Khmer Mystic · Pentatonic,高棉木琴 · 钟磬 · 雨林鸟鸣 · 晨雾微风,晨曦鸟鸣 / 空山鸟语,吴哥窟热带雨林古迹禅乐，木琴与钟声，千年高棉微笑，神秘空灵、BPM 56、Khmer Mystic · Pentatonic、晨曦鸟鸣 / 空山鸟语、高清无损立体声,"healing nature ambient, acoustic guitar fingerstyle, bird song, wind chimes, lush green forest, zen meditation, instrumental, no vocals, 56 BPM, morning bird singing, forest birds chirp, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Angkor Wat Siem Reap (柬埔寨暹粒吴哥窟), 柬埔寨 · 暹粒省, breathtaking view, 世界文化遗产, 吴哥古迹, 高棉微笑, 塔普伦寺, 莲花塔日出, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",九寨沟 · 五彩童话森林,GeoMelody AI · 中国,分类意境伴奏,suno_039_jiuzhaigou.mp3
89,machupicchu,秘鲁马丘比丘印加遗址,Machu Picchu Inca Citadel,秘鲁,秘鲁 · 库斯科大区,-72.545,-13.1631,名山胜岳 / 巍峨雪峰,安第斯山脉云端之上的失落之城。梯田与巨石城堡屹立于巍峨峰巅之间，晨雾飘渺穿行于印加太阳神庙，羊驼在草坡上闲庭信步。,世界新七大奇迹、世界文化与自然双遗产、印加帝国、失落之城、安第斯云海,64,Andean Flute · El Condor Pasa Mode,印加排箫 · 恰朗戈小吉他 · 安第斯山风,山间清风 / 微风拂过,安第斯山印加排箫经典乐曲，轻柔吉他与山风，雄鹰展翅，云端古堡、BPM 64、Andean Flute · El Condor Pasa Mode、山间清风 / 微风拂过、高清无损立体声,"cinematic ambient, grand mountain landscape, epic yet calm, airy bamboo flute, handpan, strings, ethereal atmosphere, instrumental, no vocals, 64 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Machu Picchu Inca Citadel (秘鲁马丘比丘印加遗址), 秘鲁 · 库斯科大区, breathtaking view, 世界新七大奇迹, 世界文化与自然双遗产, 印加帝国, 失落之城, 安第斯云海, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",珠穆朗玛峰 · 世界之巅,GeoMelody AI · 中国,分类意境伴奏,suno_020_everest.mp3
90,colosseum,意大利罗马斗兽场,Colosseum & Roman Forum,意大利,意大利 · 罗马市中心,12.4922,41.8902,古镇水乡 / 历史村落,古罗马帝国永恒标志。圆形拱门与三层石柱见证了两千年前角斗士的荣耀传奇，夜幕降临时金色灯光将古老剧场映照得如梦如幻。,世界新七大奇迹、世界文化遗产、古罗马帝国、永恒之城、拱券建筑,68,Classical Roman Hymn · A Minor,大提琴 · 古典弦乐组 · 铜管号角回音,古刹钟声 / 远山清钟,古罗马斗兽场史诗古典大提琴与交响弦乐，苍茫历史，庄重深沉、BPM 68、Classical Roman Hymn · A Minor、古刹钟声 / 远山清钟、高清无损立体声,"traditional oriental acoustic folk, guzheng, bamboo flute, acoustic guitar, peaceful water town vibe, relaxing, serene, instrumental, no vocals, 68 BPM, distant temple bell toll, meditation chime, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Colosseum & Roman Forum (意大利罗马斗兽场), 意大利 · 罗马市中心, breathtaking view, 世界新七大奇迹, 世界文化遗产, 古罗马帝国, 永恒之城, 拱券建筑, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",意大利罗马斗兽场,GeoMelody AI · 意大利,专属定制曲目,suno_090_colosseum.mp3
91,cappadocia,土耳其卡帕多奇亚热气球山谷,Cappadocia Hot Air Balloon Valley,土耳其,土耳其 · 内夫谢希尔省,34.8289,38.6431,浩瀚大漠 / 丝路遗迹,月球表面般的奇幻地貌。数以百计五彩缤纷的热气球在日出时分缓缓升空，漂浮在精灵烟囱与洞穴城堡之上，谱写最浪漫的空中童话。,世界文化与自然双遗产、热气球日出、精灵烟囱、洞穴城堡、月球地貌,66,Anatolian Sunset · G Minor,萨兹琴 · 奈伊笛 · 日出微风 · 喷火气流微声,山间清风 / 微风拂过,土耳其卡帕多奇亚热气球浪漫清晨音乐，萨兹琴与空灵木笛，唯美治愈、BPM 66、Anatolian Sunset · G Minor、山间清风 / 微风拂过、高清无损立体声,"silk road world music, oud, duduk, middle eastern hand percussion, desert wind, mysterious, atmospheric journey, instrumental, no vocals, 66 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Cappadocia Hot Air Balloon Valley (土耳其卡帕多奇亚热气球山谷), 土耳其 · 内夫谢希尔省, breathtaking view, 世界文化与自然双遗产, 热气球日出, 精灵烟囱, 洞穴城堡, 月球地貌, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",撒哈拉沙漠 · 星空之夜,GeoMelody AI · 摩洛哥,分类意境伴奏,suno_035_sahara.mp3
92,geirangerfjord,挪威盖朗厄尔峡湾,Geirangerfjord Norway,挪威,挪威 · 默勒-鲁姆斯达尔郡,7.0941,62.1015,宁静湖泊 / 高原圣湖,世界最壮美的大峡湾。万年冰川切割出的千米翡翠峡谷，七姐妹瀑布从高耸悬崖奔涌而下，游轮穿行其间如入北欧童话之境。,世界自然遗产、七姐妹瀑布、北欧峡湾、万年冰川、翡翠水系,56,Nordic Folk Mood · G Major,哈当厄尔小提琴 · 原声吉他 · 峡湾水浪声,环境声场,挪威峡湾北欧民谣小提琴与原声吉他，纯净冰川飞瀑，宁静治愈、BPM 56、Nordic Folk Mood · G Major、环境声场、高清无损立体声,"crystal clear piano, ambient reverb pads, tranquil lake reflection, gentle acoustic strings, deep relaxation, 432hz, instrumental, no vocals, 56 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Geirangerfjord Norway (挪威盖朗厄尔峡湾), 挪威 · 默勒-鲁姆斯达尔郡, breathtaking view, 世界自然遗产, 七姐妹瀑布, 北欧峡湾, 万年冰川, 翡翠水系, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",普利特维采湖群 · 欧洲十六湖,GeoMelody AI · 克罗地亚,分类意境伴奏,suno_045_plitvice.mp3
93,greatbarrierreef,澳大利亚大堡礁与心形礁,Great Barrier Reef & Heart Reef,澳大利亚,澳大利亚 · 昆士兰州珊瑚海,147.6992,-18.2871,海滨海岛 / 蔚蓝海域,太空唯一肉眼可见的生物奇迹。两千多公里色彩斑斓的珊瑚礁群如翡翠链条铺展在南太平洋碧波中，心形礁向世界传递大自然的浪漫。,世界自然遗产、世界最大珊瑚礁、心形礁、浮潜圣地、南太平洋,72,Tropical Coral Melody · D Major,马林巴木琴 · 原声尤克里里 · 碧波涌浪,环境声场,大堡礁阳光海浪音乐，尤克里里与马林巴木琴，清澈碧海，轻快悠闲、BPM 72、Tropical Coral Melody · D Major、环境声场、高清无损立体声,"tropical chillout, acoustic guitar, smooth piano, ukulele, ocean wave ambient, peaceful seaside sunset, warm breeze, instrumental, no vocals, 72 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Great Barrier Reef & Heart Reef (澳大利亚大堡礁与心形礁), 澳大利亚 · 昆士兰州珊瑚海, breathtaking view, 世界自然遗产, 世界最大珊瑚礁, 心形礁, 浮潜圣地, 南太平洋, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",澳大利亚大堡礁与心形礁,GeoMelody AI · 澳大利亚,专属定制曲目,suno_093_greatbarrierreef.mp3
94,sydneyoperahouse,澳大利亚悉尼歌剧院与海港大桥,Sydney Opera House & Harbour Bridge,澳大利亚,澳大利亚 · 新南威尔士州悉尼,151.2153,-33.8568,都会风情 / 人文地标,二十世纪人类建筑奇迹。白帆造型宛若停泊在悉尼湾的贝壳巨舰，夕阳下与海港大桥交相辉映，渡轮划开蔚蓝海浪。,世界文化遗产、悉尼地标、贝壳白帆、海港大桥、现代建筑经典,80,Modern Symphony · F Major,交响管弦乐 · 钢琴主奏 · 海港潮汐,环境声场,悉尼歌剧院现代交响钢琴曲，海港落日，优雅白帆，恢弘典雅、BPM 80、Modern Symphony · F Major、环境声场、高清无损立体声,"lo-fi chillhop, jazzy piano chords, mellow synth pads, urban coffee shop vibe, nostalgic, smooth groove, instrumental, no vocals, 80 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Sydney Opera House & Harbour Bridge (澳大利亚悉尼歌剧院与海港大桥), 澳大利亚 · 新南威尔士州悉尼, breathtaking view, 世界文化遗产, 悉尼地标, 贝壳白帆, 海港大桥, 现代建筑经典, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",澳大利亚悉尼歌剧院与海港大桥,GeoMelody AI · 澳大利亚,专属定制曲目,suno_094_sydneyoperahouse.mp3
95,yellowstone,美国黄石国家公园 · 大棱镜温泉,Yellowstone Grand Prismatic Spring,美国,美国 · 怀俄明州,-110.8382,44.525,幽深森林 / 自然秘境,世界第一个国家公园。大棱镜温泉七彩斑斓如大地之眼，老忠实间歇泉准时喷涌百米水柱，野生野牛群漫步在广袤高山草甸上。,世界自然遗产、大棱镜彩泉、老忠实间歇泉、世界首个国家公园、地热奇观,64,American Wilderness · G Major,民谣吉他 · 班卓琴轻拨 · 间歇泉蒸汽声,山间清风 / 微风拂过,黄石公园广袤荒野乐章，原声民谣吉他与清风，七彩温泉，天地壮阔、BPM 64、American Wilderness · G Major、山间清风 / 微风拂过、高清无损立体声,"healing nature ambient, acoustic guitar fingerstyle, bird song, wind chimes, lush green forest, zen meditation, instrumental, no vocals, 64 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Yellowstone Grand Prismatic Spring (美国黄石国家公园 · 大棱镜温泉), 美国 · 怀俄明州, breathtaking view, 世界自然遗产, 大棱镜彩泉, 老忠实间歇泉, 世界首个国家公园, 地热奇观, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",九寨沟 · 五彩童话森林,GeoMelody AI · 中国,分类意境伴奏,suno_039_jiuzhaigou.mp3
96,gugong,北京故宫博物院 · 紫禁城,Beijing Forbidden City,中国,中国 · 北京市东城区,116.3971,39.9163,古镇水乡 / 历史村落,六百年明清皇家宫殿建筑群，红墙金瓦，重檐飞拱。角楼倒映在护城河的碧波之中，见证着东方文明的皇皇大雅与岁月沉淀。,国家5A级景区、世界文化遗产、紫禁城、故宫角楼、明清宫殿,65,宫廷五声商调 · 盛世华章,编钟 · 古筝 · 洞箫 · 护城河微波,古刹钟声 / 远山清钟,故宫红墙金瓦古典中国风纯音、古筝与编钟、恢弘悠扬、历史沉淀、BPM 65、宫廷五声商调 · 盛世华章、古刹钟声 / 远山清钟、高清无损立体声,"traditional oriental acoustic folk, guzheng, bamboo flute, acoustic guitar, peaceful water town vibe, relaxing, serene, instrumental, no vocals, 65 BPM, distant temple bell toll, meditation chime, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Beijing Forbidden City (北京故宫博物院 · 紫禁城), 中国 · 北京市东城区, breathtaking view, 国家5A级景区, 世界文化遗产, 紫禁城, 故宫角楼, 明清宫殿, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",乌镇水乡,GeoMelody AI · 中国,分类意境伴奏,suno_001_wuzhen.mp3
97,yiheyuan,北京颐和园 · 万寿山与昆明湖,Beijing Summer Palace,中国,中国 · 北京市海淀区,116.2755,39.9998,宁静湖泊 / 高原圣湖,中国古典皇家园林之巅峰。佛香阁耸立万寿山之巅，十七孔桥金光穿洞，十七道光芒映射在昆明湖波光浩渺之中。,国家5A级景区、世界文化遗产、皇家园林、十七孔桥、万寿山,68,五声羽调 · 昆明烟波,琵琶 · 竹笛 · 湖水拍岸 · 远山清风,山间清风 / 微风拂过,颐和园昆明湖中国风古典音乐、竹笛与琵琶、皇家园林意境、水波荡漾、BPM 68、五声羽调 · 昆明烟波、山间清风 / 微风拂过、高清无损立体声,"crystal clear piano, ambient reverb pads, tranquil lake reflection, gentle acoustic strings, deep relaxation, 432hz, instrumental, no vocals, 68 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Beijing Summer Palace (北京颐和园 · 万寿山与昆明湖), 中国 · 北京市海淀区, breathtaking view, 国家5A级景区, 世界文化遗产, 皇家园林, 十七孔桥, 万寿山, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",普利特维采湖群 · 欧洲十六湖,GeoMelody AI · 克罗地亚,分类意境伴奏,suno_045_plitvice.mp3
98,badaling,八达岭长城 · 万里长城,Badaling Great Wall,中国,中国 · 北京市延庆区,116.015,40.3582,名山胜岳 / 巍峨雪峰,不到长城非好汉。宛若巨龙盘踞在崇山峻岭之上，敌楼矗立，烽燧遥望。雄关漫道真如铁，见证了中华民族两千年的雄浑气魄。,国家5A级景区、世界七大奇迹、万里长城、八达岭、雄关漫道,72,大国古风调 · 雄浑磅礴,中国大鼓 · 战马嘶鸣泛音 · 苍茫长风,山间清风 / 微风拂过,长城万里壮丽古风纯音、大鼓与弦乐、苍茫群山、雄浑大气、BPM 72、大国古风调 · 雄浑磅礴、山间清风 / 微风拂过、高清无损立体声,"cinematic ambient, grand mountain landscape, epic yet calm, airy bamboo flute, handpan, strings, ethereal atmosphere, instrumental, no vocals, 72 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Badaling Great Wall (八达岭长城 · 万里长城), 中国 · 北京市延庆区, breathtaking view, 国家5A级景区, 世界七大奇迹, 万里长城, 八达岭, 雄关漫道, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",珠穆朗玛峰 · 世界之巅,GeoMelody AI · 中国,分类意境伴奏,suno_020_everest.mp3
99,westlake,杭州西湖 · 断桥残雪与苏堤春晓,Hangzhou West Lake,中国,中国 · 浙江杭州,120.1504,30.2428,宁静湖泊 / 高原圣湖,欲把西湖比西子，淡妆浓抹总相宜。断桥残雪、雷峰夕照、三潭印月，湖山掩映之中，流淌着千百年来最浪漫动人的江南诗篇。,国家5A级景区、世界文化遗产、断桥残雪、西湖十景、雷峰夕照,66,五声清羽调 · 钱塘韵,古筝 · 洞箫 · 细雨湖波 · 晚钟微鸣,烟雨滴檐 / 细雨淅淅,西湖断桥江南烟雨中国风、古筝独奏、轻柔舒缓、微风水波、静心治愈、BPM 66、五声清羽调 · 钱塘韵、烟雨滴檐 / 细雨淅淅、高清无损立体声,"crystal clear piano, ambient reverb pads, tranquil lake reflection, gentle acoustic strings, deep relaxation, 432hz, instrumental, no vocals, 66 BPM, gentle rain ambience, raindrops on roof, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Hangzhou West Lake (杭州西湖 · 断桥残雪与苏堤春晓), 中国 · 浙江杭州, breathtaking view, 国家5A级景区, 世界文化遗产, 断桥残雪, 西湖十景, 雷峰夕照, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",普利特维采湖群 · 欧洲十六湖,GeoMelody AI · 克罗地亚,分类意境伴奏,suno_045_plitvice.mp3
100,huangshan,安徽黄山 · 迎客松与云海奇观,Mount Huangshan,中国,中国 · 安徽黄山,118.1694,30.1319,名山胜岳 / 巍峨雪峰,五岳归来不看山，黄山归来不看岳。奇松、怪石、云海、温泉、冬雪五绝冠绝天下，破石而出的迎客松傲立悬崖，风骨绝伦。,国家5A级景区、世界文化与自然双遗产、迎客松、黄山云海、天下第一奇山,64,五声角调 · 云海仙境,古琴 · 竖琴泛音 · 崇山松风,山间清风 / 微风拂过,黄山云海仙侠意境纯乐、古琴独奏、松风阵阵、空灵超拔、东方美学、BPM 64、五声角调 · 云海仙境、山间清风 / 微风拂过、高清无损立体声,"cinematic ambient, grand mountain landscape, epic yet calm, airy bamboo flute, handpan, strings, ethereal atmosphere, instrumental, no vocals, 64 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Mount Huangshan (安徽黄山 · 迎客松与云海奇观), 中国 · 安徽黄山, breathtaking view, 国家5A级景区, 世界文化与自然双遗产, 迎客松, 黄山云海, 天下第一奇山, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",珠穆朗玛峰 · 世界之巅,GeoMelody AI · 中国,分类意境伴奏,suno_020_everest.mp3
